l_names,l_team18,l_pos18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train
Brandon LaFell,Oak,WR,6,46,,,Cin,WR,16,137.53,0.01,271,197,0,0,0,0,0,0,52,548,3,25,0,0,0,0,228,2,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.86893326
Lance Kendricks,NE,TE,16,47.330002,,,GB,TE,16,47.529999,0,1924,370,0,0,0,0,0,0,18,203,1,8,0,0,0,0,,,3,11,276.10001,118.1,28.6,366,18.5,0.55510318
Cody Kessler,Phi,QB,5,47.66,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,233.60001,132.2,28.6,306.5,18.4,0.87599099
James O'Shaughnessy,Jax,TE,14,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.89275867
D.J. Chark Jr.,Jax,WR,11,48.400002,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.5844658
James Washington,Pit,WR,14,48.470001,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,0.85063088
Tyler Ervin,Bal,RB,9,49.130001,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,0.75424343
Bennie Fowler III,NYG,WR,10,49.27,,,,,,,,,,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.69502336
Raheem Mostert,SF,RB,9,49.77,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,0.68661523
Cody Latimer,NYG,WR,6,49.970001,,,NYG,WR,11,90.129997,0,1942,272,0,0,0,0,0,0,19,287,2,15,190,0,1,0,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.9319346
Wayne Gallman Jr.,NYG,RB,15,51.529999,209,1,,,,,,,,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.97488481
Tavon Austin,Dal,WR,7,51.630001,,,Dal ,WR,16,57,,,,0,0,0,270,1,9,13,47,0,2,0,0,0,4,121,6,8,2,196.3,135.60001,22.1,318.10001,20.799999,0.7264384
Luke Stocker,Atl,TE,16,52,,,Ten,TE,12,15,0,1956,487,0,0,0,0,0,0,4,30,1,1,0,0,0,0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74596667
Deonte Thompson,NYJ,WR,13,52.43,,,Dal,WR,16,138.39999,0.01,1910,194,0,0,0,5,0,0,38,555,2,25,229,0,0,0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,0.71671617
Keith Kirkwood,NO,WR,8,52.93,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,261.79999,129.39999,28,336.5,20.4,0.85974205
Josh Johnson,Det,QB,4,54.599998,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,261.39999,76.300003,25.6,355.79999,23.5,0.87121874
Trenton Cannon,NYJ,RB,16,54.900002,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,198.89999,106.4,18.6,352.29999,23.9,0.76646835
Jason Croom,Buf,TE,15,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,0.74379581
Jeff Wilson Jr.,SF,RB,6,59.130001,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,0.98051131
Ryan Griffin,NYJ,TE,14,59.330002,,,Hou,TE,7,41.529999,0.01,276,383,0,0,0,0,0,0,13,158,1,8,0,0,1,0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,0.72957718
Torrey Smith,Car,WR,11,59.669998,,,Car,WR,16,92.269997,0.01,1930,266,0,0,0,3,0,0,36,430,2,11,9,0,0,0,,,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.90110493
Matt LaCosse,NE,TE,15,60.669998,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,276.10001,118.1,28.6,366,18.5,0.88565093
Geoff Swaim,Jax,TE,9,61.130001,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.88211203
Justin Hardy,Atl,WR,16,62.27,,,Atl,WR,16,71.730003,0,1905,306,0,0,0,0,0,0,20,221,3,13,0,0,0,0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74893296
